visit_id,cookie_id,page_id,event_type,sequence_number,event_time
d214e6,a5bfc9,4,1,3,03-02-2020 01:15
d214e6,a5bfc9,4,2,4,03-02-2020 01:15
d214e6,a5bfc9,6,1,5,03-02-2020 01:16
d214e6,a5bfc9,6,2,6,03-02-2020 01:17
d214e6,a5bfc9,11,1,7,03-02-2020 01:18
d214e6,a5bfc9,12,1,8,03-02-2020 01:18
d214e6,a5bfc9,13,3,9,03-02-2020 01:19
97cf44,a5771b,1,1,1,28-01-2020 22:16
97cf44,a5771b,2,1,2,28-01-2020 22:16
97cf44,a5771b,3,1,3,28-01-2020 22:17
97cf44,a5771b,3,2,4,28-01-2020 22:17
97cf44,a5771b,5,1,5,28-01-2020 22:18
97cf44,a5771b,7,1,6,28-01-2020 22:18
97cf44,a5771b,7,2,7,28-01-2020 22:18
97cf44,a5771b,8,1,8,28-01-2020 22:19
97cf44,a5771b,8,2,9,28-01-2020 22:19
97cf44,a5771b,9,1,10,28-01-2020 22:19
97cf44,a5771b,9,2,11,28-01-2020 22:20
97cf44,a5771b,11,1,12,28-01-2020 22:21
97cf44,a5771b,12,1,13,28-01-2020 22:21
97cf44,a5771b,13,3,14,28-01-2020 22:22
f0e648,d67d8a,1,1,1,13-01-2020 00:46
f0e648,d67d8a,2,1,2,13-01-2020 00:46
f0e648,d67d8a,8,1,3,13-01-2020 00:47
f0e648,d67d8a,8,2,4,13-01-2020 00:47
f0e648,d67d8a,11,1,5,13-01-2020 00:48
f0e648,d67d8a,12,1,6,13-01-2020 00:49
f0e648,d67d8a,13,3,7,13-01-2020 00:50
8bfb23,d64592,1,1,1,07-02-2020 22:03
8bfb23,d64592,2,1,2,07-02-2020 22:04
8bfb23,d64592,3,1,3,07-02-2020 22:04
8bfb23,d64592,3,2,4,07-02-2020 22:05
8bfb23,d64592,4,1,5,07-02-2020 22:06
8bfb23,d64592,6,1,6,07-02-2020 22:07
8bfb23,d64592,6,2,7,07-02-2020 22:07
8bfb23,d64592,7,1,8,07-02-2020 22:08
8bfb23,d64592,8,1,9,07-02-2020 22:08
8bfb23,d64592,8,2,10,07-02-2020 22:08
8bfb23,d64592,9,1,11,07-02-2020 22:09
8bfb23,d64592,9,2,12,07-02-2020 22:09
8bfb23,d64592,10,1,13,07-02-2020 22:10
8bfb23,d64592,10,2,14,07-02-2020 22:10
8bfb23,d64592,12,1,15,07-02-2020 22:10
8bfb23,d64592,13,3,16,07-02-2020 22:10
aa6d31,3416a7,1,1,1,09-01-2020 21:59
aa6d31,3416a7,2,1,2,09-01-2020 22:00
aa6d31,3416a7,3,1,3,09-01-2020 22:00
aa6d31,3416a7,4,1,4,09-01-2020 22:00
aa6d31,3416a7,4,2,5,09-01-2020 22:01
aa6d31,3416a7,6,1,6,09-01-2020 22:01
aa6d31,3416a7,6,2,7,09-01-2020 22:01
aa6d31,3416a7,9,1,8,09-01-2020 22:01
aa6d31,3416a7,10,1,9,09-01-2020 22:02
d54641,a1d0c6,1,1,1,29-02-2020 01:09
d54641,a1d0c6,3,1,2,29-02-2020 01:09
d54641,a1d0c6,5,1,3,29-02-2020 01:10
d54641,a1d0c6,5,2,4,29-02-2020 01:11
d54641,a1d0c6,6,1,5,29-02-2020 01:12
d54641,a1d0c6,8,1,6,29-02-2020 01:13
d54641,a1d0c6,11,1,7,29-02-2020 01:13
d54641,a1d0c6,12,1,8,29-02-2020 01:13
d54641,a1d0c6,13,3,9,29-02-2020 01:14
f60bb1,17e621,1,1,1,22-02-2020 07:52
f60bb1,17e621,2,1,2,22-02-2020 07:52
f60bb1,17e621,8,1,3,22-02-2020 07:53
f60bb1,17e621,8,2,4,22-02-2020 07:53
f60bb1,17e621,10,1,5,22-02-2020 07:54
f60bb1,17e621,11,1,6,22-02-2020 07:55
f60bb1,17e621,12,1,7,22-02-2020 07:55
f60bb1,17e621,13,3,8,22-02-2020 07:56
cfbc1c,f71771,1,1,1,08-01-2020 04:52
cfbc1c,f71771,2,1,2,08-01-2020 04:53
cfbc1c,f71771,6,1,3,08-01-2020 04:54
cfbc1c,f71771,9,1,4,08-01-2020 04:54
cfbc1c,f71771,11,1,5,08-01-2020 04:54
cfbc1c,f71771,11,2,6,08-01-2020 04:54
cfbc1c,f71771,12,1,7,08-01-2020 04:55
cfbc1c,f71771,13,3,8,08-01-2020 04:56
cf849f,6c8349,1,1,1,09-02-2020 11:31
cf849f,6c8349,2,1,2,09-02-2020 11:32
cf849f,6c8349,3,1,3,09-02-2020 11:33
cf849f,6c8349,3,2,4,09-02-2020 11:34
cf849f,6c8349,4,1,5,09-02-2020 11:34
cf849f,6c8349,4,2,6,09-02-2020 11:35
cf849f,6c8349,6,1,7,09-02-2020 11:35
cf849f,6c8349,9,1,8,09-02-2020 11:36
cf849f,6c8349,11,1,9,09-02-2020 11:36
d400f3,d9d4f4,1,1,1,25-01-2020 09:43
d400f3,d9d4f4,2,1,2,25-01-2020 09:44
d400f3,d9d4f4,5,1,3,25-01-2020 09:44
d400f3,d9d4f4,5,2,4,25-01-2020 09:45
d400f3,d9d4f4,6,1,5,25-01-2020 09:45
d400f3,d9d4f4,6,2,6,25-01-2020 09:46
d400f3,d9d4f4,10,1,7,25-01-2020 09:46
d400f3,d9d4f4,12,1,8,25-01-2020 09:46
d400f3,d9d4f4,13,3,9,25-01-2020 09:47
a59fa0,67c6a1,1,1,1,20-02-2020 21:55
a59fa0,67c6a1,2,1,2,20-02-2020 21:55
a59fa0,67c6a1,3,1,3,20-02-2020 21:56
a59fa0,67c6a1,3,2,4,20-02-2020 21:57
a59fa0,67c6a1,9,1,5,20-02-2020 21:57
a59fa0,67c6a1,12,1,6,20-02-2020 21:57
3e7fc5,6.42E+94,1,1,1,21-02-2020 09:14
3e7fc5,6.42E+94,2,1,2,21-02-2020 09:14
3e7fc5,6.42E+94,3,1,3,21-02-2020 09:15
3e7fc5,6.42E+94,3,2,4,21-02-2020 09:16
3e7fc5,6.42E+94,4,1,5,21-02-2020 09:16
3e7fc5,6.42E+94,6,1,6,21-02-2020 09:17
3e7fc5,6.42E+94,7,1,7,21-02-2020 09:17
3e7fc5,6.42E+94,8,1,8,21-02-2020 09:17
3e7fc5,6.42E+94,8,2,9,21-02-2020 09:18
3e7fc5,6.42E+94,9,1,10,21-02-2020 09:18
7da3f2,f457c5,1,1,1,07-01-2020 15:38
7da3f2,f457c5,2,1,2,07-01-2020 15:39
7da3f2,f457c5,3,1,3,07-01-2020 15:39
7da3f2,f457c5,3,2,4,07-01-2020 15:40
7da3f2,f457c5,4,1,5,07-01-2020 15:40
7da3f2,f457c5,4,2,6,07-01-2020 15:41
7da3f2,f457c5,7,1,7,07-01-2020 15:41
7da3f2,f457c5,10,1,8,07-01-2020 15:41
7da3f2,f457c5,10,2,9,07-01-2020 15:41
7da3f2,f457c5,12,1,10,07-01-2020 15:42
d337c9,c0c7c7,1,1,1,13-02-2020 12:26
d337c9,c0c7c7,2,1,2,13-02-2020 12:26
d337c9,c0c7c7,6,1,3,13-02-2020 12:27
d337c9,c0c7c7,7,1,4,13-02-2020 12:28
d337c9,c0c7c7,9,1,5,13-02-2020 12:29
d337c9,c0c7c7,10,1,6,13-02-2020 12:30
d337c9,c0c7c7,10,2,7,13-02-2020 12:31
d337c9,c0c7c7,11,1,8,13-02-2020 12:31
d337c9,c0c7c7,12,1,9,13-02-2020 12:31
d337c9,c0c7c7,13,3,10,13-02-2020 12:32
fcc0cb,283802,1,1,1,04-01-2020 01:36
fcc0cb,283802,2,1,2,04-01-2020 01:37
fcc0cb,283802,4,1,3,04-01-2020 01:37
fcc0cb,283802,5,1,4,04-01-2020 01:38
fcc0cb,283802,5,2,5,04-01-2020 01:39
fcc0cb,283802,8,1,6,04-01-2020 01:39
fcc0cb,283802,8,2,7,04-01-2020 01:39
fcc0cb,283802,9,1,8,04-01-2020 01:40
fcc0cb,283802,10,1,9,04-01-2020 01:40
fcc0cb,283802,10,2,10,04-01-2020 01:41
fcc0cb,283802,11,1,11,04-01-2020 01:42
fcc0cb,283802,11,2,12,04-01-2020 01:42
fcc0cb,283802,12,1,13,04-01-2020 01:42
fcc0cb,283802,13,3,14,04-01-2020 01:42
85fdaf,9a1158,1,1,1,19-02-2020 23:49
85fdaf,9a1158,4,1,2,19-02-2020 23:49
85fdaf,9a1158,5,1,3,19-02-2020 23:50
85fdaf,9a1158,5,2,4,19-02-2020 23:51
85fdaf,9a1158,6,1,5,19-02-2020 23:52
85fdaf,9a1158,10,1,6,19-02-2020 23:52
85fdaf,9a1158,10,2,7,19-02-2020 23:53
9f4c50,d82c8d,1,1,1,06-02-2020 19:18
9f4c50,d82c8d,2,1,2,06-02-2020 19:19
9f4c50,d82c8d,3,1,3,06-02-2020 19:20
9f4c50,d82c8d,4,1,4,06-02-2020 19:20
9f4c50,d82c8d,4,2,5,06-02-2020 19:21
9f4c50,d82c8d,5,1,6,06-02-2020 19:21
9f4c50,d82c8d,7,1,7,06-02-2020 19:22
9f4c50,d82c8d,7,2,8,06-02-2020 19:22
9f4c50,d82c8d,8,1,9,06-02-2020 19:22
9f4c50,d82c8d,8,2,10,06-02-2020 19:23
9f4c50,d82c8d,9,1,11,06-02-2020 19:23
9f4c50,d82c8d,11,1,12,06-02-2020 19:23
9f4c50,d82c8d,11,2,13,06-02-2020 19:23
9f4c50,d82c8d,12,1,14,06-02-2020 19:23
9f4c50,d82c8d,13,3,15,06-02-2020 19:24
a4308c,a684ec,1,1,1,30-01-2020 07:08
